location,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel
lat,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319
lon,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500
asl,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029
variable,Temperature,Relative Humidity,Mean Sea Level Pressure,Precipitation Total,Cloud Cover Total,Cloud Cover High,Cloud Cover Medium,Cloud Cover Low,Sunshine Duration,Shortwave Radiation,Diffuse Shortwave Radiation,FAO Reference Evapotranspiration,CAPE,Wind Speed,Wind Direction,Temperature
unit,°C,%,hPa,mm,%,%,%,%,min,W/m²,W/m²,mm,J/kg,km/h,°,°C
level,2 m elevation corrected,2 m,MSL,sfc,sfc,high cld lay,mid cld lay,low cld lay,sfc,sfc,sfc,2 m,180-0 mb above gnd,10 m,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
timestamp,Excel Temperature [2 m elevation corrected],Excel Relative Humidity [2 m],Excel Mean Sea Level Pressure [MSL],Excel Precipitation Total,Excel Cloud Cover Total,Excel Cloud Cover High [high cld lay],Excel Cloud Cover Medium [mid cld lay],Excel Cloud Cover Low [low cld lay],Excel Sunshine Duration,Excel Shortwave Radiation,Excel Diffuse Shortwave Radiation,Excel FAO Reference Evapotranspiration [2 m],Excel CAPE [180-0 mb above gnd],Excel Wind Speed [10 m],Excel Wind Direction [10 m],Excel Temperature
20200525T2000,19.758188,45.0,1005.4,0.1,100.0,100.0,100.0,86.0,0.0,91.67,0.0,0.13134079,118.0,10.154698,184.51399,19.28
20200525T2100,17.608189,56.0,1004.9,0.0,100.0,100.0,100.0,100.0,0.0,36.489998,0.0,0.0675883,135.0,7.4782047,175.91438,16.88
20200525T2200,16.018188,66.0,1004.5,0.0,100.0,100.0,100.0,100.0,0.0,1.78,0.0,0.007853986,173.0,6.5308766,168.2317,14.85
20200525T2300,15.178187,71.0,1004.6,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.013792635,167.0,6.6653256,177.7094,14.45
20200526T0000,14.678187,73.0,1004.8,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.014374087,112.0,7.421045,201.0375,14.0
20200526T0100,14.118188,74.0,1005.5,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.017068727,73.0,8.697868,220.03026,13.6
20200526T0200,13.368188,78.0,1005.7,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.011464351,74.0,8.365129,232.76517,12.94
20200526T0300,12.548187,83.0,1005.3,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.006007993,84.0,8.343893,253.30075,12.15
20200526T0400,12.148188,85.0,1005.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.004740776,91.0,8.827452,275.19443,11.84
20200526T0500,11.828188,86.0,1005.0,0.0,99.0,100.0,99.0,11.0,0.0,0.0,0.0,0.00575263,79.0,10.196545,303.2749,11.14
20200526T0600,12.048187,86.0,1006.0,0.0,100.0,2.0,1.0,100.0,0.0,20.47,9.7920685,0.008950623,75.0,11.67914,315.0,12.52
20200526T0700,13.158188,83.0,1006.7,0.0,100.0,0.0,0.0,100.0,0.0,72.979996,27.229298,0.042786926,89.0,11.458296,287.59244,13.98
20200526T0800,14.128188,77.0,1007.0,0.2,96.0,0.0,0.0,96.0,0.0,137.95,54.936234,0.088924706,140.0,12.875693,294.44397,15.74
20200526T0900,14.998188,71.0,1006.8,0.4,88.0,0.0,23.0,88.0,3.8297868,223.39,101.95481,0.14156722,233.0,13.713779,294.0755,16.18
20200526T1000,15.448188,66.0,1006.7,0.4,91.0,0.0,91.0,91.0,1.9148934,174.44,161.73949,0.14127094,237.0,13.957428,293.6294,16.67
20200526T1100,15.748188,62.0,1006.5,0.3,62.0,0.0,4.0,62.0,20.425533,222.5,207.07765,0.1739403,195.0,15.147364,293.86017,20.14
20200526T1200,17.378187,55.0,1006.8,0.2,81.0,0.0,81.0,81.0,8.297872,368.46,250.93819,0.2625555,211.0,17.176086,293.78204,23.44
20200526T1300,15.918188,58.0,1006.7,0.0,52.0,0.0,52.0,52.0,26.80851,321.29,274.21976,0.22746103,214.0,16.328821,298.23746,16.99
20200526T1400,16.648188,53.0,1006.9,0.0,10.0,0.0,1.0,10.0,53.61702,380.91998,282.24542,0.267158,193.0,16.182566,302.90524,19.18
20200526T1500,18.208187,47.0,1006.9,0.0,61.0,0.0,61.0,61.0,21.063831,752.05,232.8336,0.44759133,250.0,16.785313,305.9605,18.22
20200526T1600,16.258188,50.0,1007.7,0.3,100.0,0.0,100.0,76.0,0.0,194.02,186.47054,0.19520472,116.0,17.057924,308.65982,17.72
20200526T1700,15.488188,53.0,1007.4,0.3,100.0,0.0,100.0,100.0,0.0,223.39,197.16965,0.19598244,127.0,18.495144,311.49646,16.65
20200526T1800,14.148188,60.0,1008.8,0.5,100.0,0.0,100.0,100.0,0.0,179.78,0.0,0.1580069,124.0,20.533548,314.47437,15.09
20200526T1900,12.828188,65.0,1010.6,0.3,75.0,0.0,75.0,75.0,0.0,199.36,0.0,0.14010422,69.0,20.559454,328.78162,14.45
20200526T2000,12.548187,64.0,1011.4,0.0,72.0,0.0,72.0,52.0,0.0,186.9,0.0,0.12047347,15.0,17.850788,322.27502,13.77
20200526T2100,12.288188,59.0,1011.5,0.0,100.0,0.0,75.0,100.0,0.0,85.44,0.0,0.08022828,8.0,15.690485,310.17926,12.22
20200526T2200,12.358188,57.0,1011.8,0.0,100.0,0.0,100.0,3.0,0.0,2.67,0.0,0.047988325,59.0,14.439765,299.876,11.95
20200526T2300,9.988188,66.0,1012.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03674035,40.0,13.752538,291.5953,8.82
20200527T0000,8.568188,70.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029478528,9.0,13.762854,284.57422,7.48
20200527T0100,7.268188,74.0,1015.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024516787,0.0,14.630187,280.4915,6.21
20200527T0200,5.7181883,80.0,1015.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015205143,0.0,14.2791395,278.58362,4.82
20200527T0300,3.8481882,90.0,1016.3,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.00288118,0.0,13.977751,277.6668,3.29
20200527T0400,2.598188,96.0,1016.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.186127,278.1301,2.18
20200527T0500,1.6481881,97.0,1017.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.566062,274.8645,1.47
20200527T0600,1.588188,94.0,1018.3,0.0,5.0,0.0,0.0,5.0,44.042374,20.47,9.788395,0.0,0.0,11.987999,270.0,2.52
20200527T0700,5.768188,69.0,1017.8,0.0,0.0,0.0,0.0,0.0,60.0,143.29,65.45292,0.054663688,0.0,16.536123,272.7702,7.23
20200527T0800,9.368188,48.0,1016.8,0.0,0.0,0.0,0.0,0.0,60.0,294.59,126.47385,0.15724054,0.0,20.497227,278.97263,11.49
20200527T0900,11.358188,39.0,1016.2,0.0,0.0,0.0,0.0,0.0,60.0,446.78,179.68704,0.2478822,0.0,23.852842,290.25647,14.53
20200527T1000,12.2681875,39.0,1015.5,0.0,0.0,0.0,0.0,0.0,60.0,584.73,220.56999,0.30923855,0.0,26.237358,299.16763,16.53
20200527T1100,13.488188,38.0,1015.1,0.0,0.0,0.0,0.0,0.0,60.0,703.1,250.39122,0.37066978,0.0,26.731749,299.88654,18.62
20200527T1200,14.618188,36.0,1015.5,0.0,0.0,0.0,0.0,0.0,60.0,792.1,269.5845,0.4256161,0.0,27.172798,298.0725,20.2
20200527T1300,15.408188,35.0,1016.3,0.0,10.0,0.0,0.0,10.0,53.61702,812.57,268.9129,0.4504845,1.0,27.768288,298.04016,20.91
20200527T1400,15.898188,36.0,1016.6,0.0,10.0,0.0,10.0,10.0,53.61702,808.12,258.93256,0.45569393,27.0,28.747757,302.51193,21.26
20200527T1500,15.038188,38.0,1016.7,0.0,10.0,0.0,10.0,10.0,53.61702,596.3,138.75055,0.36970848,29.0,28.87953,307.50415,20.76
20200527T1600,15.788188,37.0,1016.9,0.0,10.0,0.0,10.0,10.0,53.61702,559.81,101.23618,0.36784658,34.0,28.519737,310.8335,20.24
20200527T1700,15.348187,37.0,1016.8,0.0,43.0,0.0,43.0,43.0,32.553192,525.1,153.08034,0.34419474,25.0,27.136213,313.40887,18.07
20200527T1800,15.468187,36.0,1017.4,0.0,10.0,0.0,10.0,10.0,53.61702,458.35,0.0,0.31654933,12.0,25.64368,317.52612,18.01
20200527T1900,15.078188,37.0,1019.2,0.0,10.0,0.0,10.0,10.0,0.0,368.46,0.0,0.26525015,3.0,23.298962,321.03326,16.37
20200527T2000,14.298187,39.0,1020.5,0.0,10.0,0.0,0.0,10.0,0.0,226.95,0.0,0.18904285,0.0,19.93021,322.05786,14.44
20200527T2100,12.488188,45.0,1021.3,0.0,0.0,0.0,0.0,0.0,0.0,92.56,0.0,0.096188,0.0,14.066323,322.69604,11.17
20200527T2200,9.8081875,55.0,1022.2,0.0,0.0,0.0,0.0,0.0,25.883333,4.45,0.0,0.02605028,0.0,9.232211,316.16913,8.18
20200527T2300,8.238188,62.0,1022.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021312673,0.0,8.05392,304.2157,6.54
20200528T0000,7.168188,67.0,1023.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015459052,0.0,7.74395,296.56506,5.36
20200528T0100,6.2581882,71.0,1024.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011017005,0.0,7.421045,291.0375,4.26
20200528T0200,5.4281883,75.0,1025.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007988833,0.0,7.501892,286.50436,3.27
20200528T0300,4.648188,78.0,1026.1,0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.004753917,0.0,7.0533133,280.88553,2.23
20200528T0400,3.9381878,81.0,1026.3,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0025374137,0.0,6.9723544,276.58194,1.47
20200528T0500,3.6581879,80.0,1026.8,0.0,1.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0025841824,0.0,6.6812778,274.5739,0.61
20200528T0600,3.718188,82.0,1026.7,0.0,0.0,0.0,0.0,0.0,47.466667,22.25,10.635772,0.0,0.0,5.8849683,275.19443,3.04
20200528T0700,6.208188,73.0,1026.6,0.0,0.0,0.0,0.0,0.0,60.0,143.29,65.40505,0.030392045,0.0,3.1968002,270.0,8.02
20200528T0800,10.388187,60.0,1026.0,0.0,0.0,0.0,0.0,0.0,60.0,292.81,125.6212,0.1196525,0.0,3.5840454,311.98724,13.34
20200528T0900,12.508187,50.0,1025.3,0.0,0.0,0.0,0.0,0.0,60.0,444.11,178.49129,0.21489877,0.0,3.6234317,323.97263,17.3
20200528T1000,13.7681875,44.0,1025.3,0.0,0.0,0.0,0.0,0.0,60.0,582.95,219.75095,0.30566806,0.0,5.701209,322.59467,20.0
20200528T1100,15.0181875,40.0,1024.4,0.0,0.0,0.0,0.0,0.0,60.0,702.20996,249.906,0.3859246,0.0,5.701209,322.59467,22.46
20200528T1200,16.158188,37.0,1023.8,0.0,0.0,0.0,0.0,0.0,60.0,792.1,269.3987,0.4513004,0.0,5.328,323.13013,24.37
20200528T1300,17.218187,34.0,1023.3,0.0,0.0,0.0,0.0,0.0,60.0,845.5,279.60925,0.4961323,0.0,5.328,323.13013,25.8
20200528T1400,18.048187,32.0,1022.7,0.0,0.0,0.0,0.0,0.0,60.0,858.85,281.97064,0.5141977,0.0,4.802594,326.30994,26.55
20200528T1500,18.658188,30.0,1022.0,0.0,1.2,4.0,0.0,0.0,59.234043,823.25,274.2207,0.50048625,0.0,4.765508,333.43497,26.55
20200528T1600,19.008188,29.0,1021.2,0.0,10.0,0.0,0.0,10.0,53.61702,737.81,254.34198,0.45115948,0.0,3.8788424,344.0546,25.95
20200528T1700,19.178188,29.0,1020.8,0.0,12.3,41.0,2.0,10.0,52.148937,638.13,231.26382,0.38681966,0.0,3.1968002,360.0,24.81
20200528T1800,19.148188,29.0,1020.7,0.0,20.0,27.0,20.0,10.0,47.234047,517.08997,0.0,0.30605555,0.0,2.7812977,16.69925,23.43
20200528T1900,18.848188,30.0,1020.5,0.0,25.0,43.0,25.0,10.0,0.0,385.37,0.0,0.21874037,0.0,2.8318708,48.81407,21.35
20200528T2000,18.388187,31.0,1020.8,0.0,59.0,48.0,59.0,0.0,0.0,242.97,0.0,0.13517112,0.0,3.8142676,77.905235,19.09
20200528T2100,16.618187,39.0,1021.1,0.0,88.0,42.0,88.0,0.0,0.0,105.02,0.0,0.06617663,0.0,5.8608,89.99999,15.31
20200528T2200,15.038188,42.0,1021.4,0.0,100.0,63.0,100.0,0.0,0.0,6.23,0.0,0.03296693,0.0,7.2125063,94.23639,13.85
20200528T2300,14.068188,45.0,1021.4,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.04630483,0.0,8.466324,102.72436,13.28
