location,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel,Excel
lat,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319,51.33319
lon,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500,-110.62500
asl,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029,763.029
variable,Temperature,Relative Humidity,Mean Sea Level Pressure,Precipitation Total,Cloud Cover Total,Cloud Cover High,Cloud Cover Medium,Cloud Cover Low,Sunshine Duration,Shortwave Radiation,Diffuse Shortwave Radiation,FAO Reference Evapotranspiration,CAPE,Wind Speed,Wind Direction,Temperature
unit,°C,%,hPa,mm,%,%,%,%,min,W/m²,W/m²,mm,J/kg,km/h,°,°C
level,2 m elevation corrected,2 m,MSL,sfc,sfc,high cld lay,mid cld lay,low cld lay,sfc,sfc,sfc,2 m,180-0 mb above gnd,10 m,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
timestamp,Excel Temperature [2 m elevation corrected],Excel Relative Humidity [2 m],Excel Mean Sea Level Pressure [MSL],Excel Precipitation Total,Excel Cloud Cover Total,Excel Cloud Cover High [high cld lay],Excel Cloud Cover Medium [mid cld lay],Excel Cloud Cover Low [low cld lay],Excel Sunshine Duration,Excel Shortwave Radiation,Excel Diffuse Shortwave Radiation,Excel FAO Reference Evapotranspiration [2 m],Excel CAPE [180-0 mb above gnd],Excel Wind Speed [10 m],Excel Wind Direction [10 m],Excel Temperature
20200522T0500,5.028188,94.0,1000.9,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,12.418355,215.3948,5.15
20200522T0600,5.878188,90.0,1001.1,0.0,100.0,0.0,0.0,100.0,0.0,8.01,3.0934258,0.0,0.0,12.789975,215.6764,6.15
20200522T0700,7.3281884,73.0,1001.8,0.0,33.0,0.0,0.0,33.0,38.93617,105.02,48.176746,0.0489002,0.0,16.204477,226.33223,8.56
20200522T0800,8.048187,62.0,1002.0,0.0,35.0,0.0,0.0,35.0,37.659573,222.5,95.920166,0.11256373,0.0,19.949783,235.88553,10.31
20200522T0900,8.338188,61.0,1002.2,0.0,100.0,0.0,4.0,100.0,0.0,304.38,95.352806,0.14815949,0.0,21.060768,235.30484,9.72
20200522T1000,8.348187,62.0,1002.6,0.0,100.0,0.0,6.0,100.0,0.0,183.34,162.9549,0.12439931,0.0,21.525713,233.55556,9.76
20200522T1100,8.628188,62.0,1002.9,0.0,100.0,0.0,16.0,100.0,0.0,214.48999,202.824,0.13714859,0.0,22.058178,232.85332,10.34
20200522T1200,8.708188,62.0,1003.4,0.0,100.0,0.0,49.0,100.0,0.0,215.37999,205.93515,0.13987416,9.0,22.700344,234.0715,10.62
20200522T1300,8.468187,62.0,1004.0,0.0,100.0,0.0,82.0,100.0,0.0,200.25,193.61037,0.13529052,0.0,22.905754,236.8644,9.88
20200522T1400,8.648188,63.0,1004.7,0.0,100.0,2.0,100.0,100.0,0.0,235.84999,225.71112,0.14430849,12.0,22.304539,240.67952,11.46
20200522T1500,8.578188,65.0,1005.2,0.0,100.0,6.0,100.0,100.0,0.0,261.66,252.21002,0.14695215,14.0,21.087711,243.75865,10.86
20200522T1600,8.758187,65.0,1005.2,0.0,100.0,78.0,100.0,100.0,0.0,234.06999,225.07816,0.138939,13.0,20.262167,245.11963,10.93
20200522T1700,9.188188,64.0,1005.4,0.0,100.0,100.0,100.0,100.0,0.0,245.64,198.66861,0.14416535,11.0,19.780087,244.4703,11.68
20200522T1800,9.5581875,61.0,1005.5,0.0,100.0,8.0,100.0,100.0,0.0,254.54,0.0,0.15026651,8.0,20.39483,246.1135,11.61
20200522T1900,9.388187,61.0,1006.3,0.0,100.0,0.0,75.0,100.0,0.0,234.06999,0.0,0.13493812,5.0,18.240133,263.29016,11.45
20200522T2000,8.648188,65.0,1007.2,0.0,61.0,1.0,50.0,61.0,0.0,171.77,0.0,0.097350486,0.0,17.416122,263.8534,9.33
20200522T2100,7.438188,73.0,1007.4,0.0,42.0,2.0,28.0,42.0,0.0,77.43,0.0,0.043332733,0.0,14.420093,258.2749,6.85
20200522T2200,6.6581883,81.0,1008.2,0.0,100.0,4.0,100.0,100.0,0.0,2.67,0.0,0.006279061,0.0,12.814919,249.30457,6.31
20200522T2300,7.308188,79.0,1008.8,0.0,100.0,23.0,100.0,100.0,0.0,0.0,0.0,0.016757153,11.0,13.656736,249.44395,7.09
20200523T0000,7.318188,80.0,1009.5,0.0,100.0,42.0,98.0,100.0,0.0,0.0,0.0,0.018522803,0.0,15.771689,254.32048,7.11
20200523T0100,7.268188,80.0,1010.3,0.0,100.0,100.0,100.0,15.0,0.0,0.0,0.0,0.019971488,8.0,16.917973,262.7631,6.89
20200523T0200,7.018188,80.0,1010.7,0.0,100.0,33.0,100.0,7.0,0.0,0.0,0.0,0.020884672,8.0,17.856749,271.7098,6.62
20200523T0300,6.5781884,79.0,1010.6,0.0,100.0,7.0,77.0,100.0,0.0,0.0,0.0,0.021861449,0.0,17.870655,280.30487,6.17
20200523T0400,6.1381884,77.0,1010.8,0.0,100.0,0.0,14.0,100.0,0.0,0.0,0.0,0.022920817,0.0,16.943123,286.44037,5.87
20200523T0500,5.8281884,76.0,1011.5,0.0,100.0,0.0,2.0,100.0,0.0,0.0,0.0,0.023093157,0.0,16.374392,291.97452,5.79
20200523T0600,5.798188,77.0,1012.4,0.0,100.0,0.0,0.0,100.0,0.0,14.24,6.820364,0.01820642,0.0,15.287276,292.54306,6.44
20200523T0700,6.188188,75.0,1013.4,0.0,75.0,0.0,0.0,75.0,12.127658,128.16,58.737015,0.039862566,0.0,12.280433,273.7314,7.73
20200523T0800,7.3481884,71.0,1014.0,0.0,6.0,0.0,0.0,6.0,56.170216,282.13,121.515945,0.1049731,0.0,14.846872,279.2933,10.22
20200523T0900,9.028188,65.0,1013.6,0.0,21.0,10.0,2.0,21.0,46.595745,433.43,174.86687,0.17793526,0.0,17.020435,287.30054,13.2
20200523T1000,10.718187,60.0,1013.2,0.0,100.0,10.0,3.0,100.0,0.0,542.89996,205.42567,0.24292263,9.0,17.943974,288.16595,16.13
20200523T1100,11.0581875,58.0,1013.2,0.0,100.0,13.0,1.0,100.0,0.0,506.41,126.769966,0.24710175,11.0,17.525799,289.53665,14.24
